"","Departement","Latitude.la.plus.au.nord","Latitude.la.plus.au.sud","Longitude.la.plus.a.l.est","Longitude.la.plus.a.l.ouest","X","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1","1",46.517199374492,45.611235124481,6.1697363568789,4.729097034294,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2","2",50.069271974234,48.837795469902,4.2540638814402,2.9624508927558,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"3","3",46.803872076205,45.930727869968,4.0055701432229,2.2804029533754,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"4","4",44.659501345682,43.668282105491,6.9668199032047,5.4980104773442,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","5",45.12684420383,44.186478874057,7.0771048243018,5.4185330627929,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"6","6",44.361051257141,43.480065494401,7.7169378581589,6.6363906079569,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","7",45.365674921417,44.264783733394,4.8865943991285,3.8615128126047,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","8",50.168317417174,49.228510768771,5.3935393812988,4.0252899216328,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","9",43.315601482419,42.572397819345,2.1758766074869,0.82612266137771,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","10",48.716672523486,47.924112631788,4.863174195777,3.3883584814447,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","11",43.459927734352,42.64890098195,3.2405623482295,1.6884233932357,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","12",44.941219492647,43.692056102371,3.4507554815828,1.8396044963184,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"13","13",43.92406219253,43.162545513212,5.8132476569219,4.2302808850321,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","14",49.429859840723,48.752223582274,0.44627431224134,-1.1595014604014,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","15",45.480702895801,44.61552895784,3.3699091459722,2.0629079799591,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"16","16",46.139591492141,45.191628193392,0.9456207917489,-0.46177341555077,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"17","17",46.371051399922,45.088810634907,0.005823224821197,-1.5614800452621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"18","18",47.628965936616,46.420403547753,3.0793324170792,1.7745852665449,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"19","19",45.763895555756,44.923721627249,2.5283596411119,1.2271245972559,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"20","21",48.030241950581,46.900857518168,5.5185372800929,4.0660574486622,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","22",48.867411825697,48.035478415172,-1.9089921410274,-3.663669588163,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
