"year","nb_dept_infected","lat_mean_infected","pop_infected"
2004,1,0.462094283928552,1053182
2005,1,0.462094283928552,1063500
2006,2,0.910133076029427,1231584
2007,4,1.81443278612794,1919815
2008,4,1.81443278612794,1926296
2009,4,1.81443278612794,1924839
2010,6,2.73717823965098,4063694
2011,9,4.19248020323725,6977537
2012,17,8.0650575199498,10170891
2013,18,8.52307342791527,11328443
2014,20,9.51152172048532,12765904
2015,30,14.3398745603007,18628967
2016,33,15.7650819034329,22394868
2017,39,18.7389542810325,26459172
2018,48,23.2422589669916,37084709
2019,55,26.7307103702401,42109168
2020,60,29.1623059167783,44407419
2021,62,30.1483826109301,44911739
2022,65,31.6104308136996,46387850
2023,71,34.6126955409252,50429631
2024,74,36.1169884210659,51626535
