Entity,Code,Year,Number of Internet users
Africa,OWID_AFR,2004,26689034
Africa,OWID_AFR,2005,33522960
Africa,OWID_AFR,2006,41345360
Africa,OWID_AFR,2007,53123988
Africa,OWID_AFR,2008,62543440
Africa,OWID_AFR,2009,74807010
Africa,OWID_AFR,2010,97107180
Africa,OWID_AFR,2011,115674580
Africa,OWID_AFR,2012,139036750
Africa,OWID_AFR,2013,166100420
Africa,OWID_AFR,2014,199002980
Africa,OWID_AFR,2015,238085310
Africa,OWID_AFR,2016,277402800
Africa,OWID_AFR,2017,308372580
Africa,OWID_AFR,2018,339353120
Africa,OWID_AFR,2019,392047500
Africa,OWID_AFR,2020,458443700
Africa,OWID_AFR,2021,490585600
Asia,OWID_ASI,2004,309618300
Asia,OWID_ASI,2005,355540000
Asia,OWID_ASI,2006,412993180
Asia,OWID_ASI,2007,538581600
Asia,OWID_ASI,2008,659952400
Asia,OWID_ASI,2009,780297300
Asia,OWID_ASI,2010,940890240
Asia,OWID_ASI,2011,1069976600
Asia,OWID_ASI,2012,1178798600
Asia,OWID_ASI,2013,1291964800
Asia,OWID_ASI,2014,1407689600
Asia,OWID_ASI,2015,1524410100
Asia,OWID_ASI,2016,1673003000
Asia,OWID_ASI,2017,1808234200
Asia,OWID_ASI,2018,1961066600
Asia,OWID_ASI,2019,2251596000
Asia,OWID_ASI,2020,2619212000
Asia,OWID_ASI,2021,2138133600
Europe,OWID_EUR,2004,263893460
Europe,OWID_EUR,2005,290004670
Europe,OWID_EUR,2006,315753600
Europe,OWID_EUR,2007,357639550
Europe,OWID_EUR,2008,392847170
Europe,OWID_EUR,2009,429583970
Europe,OWID_EUR,2010,460710430
Europe,OWID_EUR,2011,482730460
Europe,OWID_EUR,2012,510836400
Europe,OWID_EUR,2013,528152200
Europe,OWID_EUR,2014,545623740
Europe,OWID_EUR,2015,551236700
Europe,OWID_EUR,2016,568027900
Europe,OWID_EUR,2017,582971000
Europe,OWID_EUR,2018,607619260
Europe,OWID_EUR,2019,620024640
Europe,OWID_EUR,2020,636825860
Europe,OWID_EUR,2021,655048260
North America,OWID_NAM,2004,232305040
North America,OWID_NAM,2005,250300210
North America,OWID_NAM,2006,259884770
North America,OWID_NAM,2007,283951550
North America,OWID_NAM,2008,288208640
North America,OWID_NAM,2009,290293060
North America,OWID_NAM,2010,302547520
North America,OWID_NAM,2011,309947140
North America,OWID_NAM,2012,335082080
North America,OWID_NAM,2013,335518880
North America,OWID_NAM,2014,348261020
North America,OWID_NAM,2015,376928350
North America,OWID_NAM,2016,424722180
North America,OWID_NAM,2017,431805400
North America,OWID_NAM,2018,449081860
North America,OWID_NAM,2019,475762430
North America,OWID_NAM,2020,480084350
North America,OWID_NAM,2021,496591360
Oceania,OWID_OCE,2004,2910369.8
Oceania,OWID_OCE,2005,15810390
Oceania,OWID_OCE,2006,16957380
Oceania,OWID_OCE,2007,18027800
Oceania,OWID_OCE,2008,18921514
Oceania,OWID_OCE,2009,20260468
Oceania,OWID_OCE,2010,21051034
Oceania,OWID_OCE,2011,22356034
Oceania,OWID_OCE,2012,22824096
Oceania,OWID_OCE,2013,24466046
Oceania,OWID_OCE,2014,25238508
Oceania,OWID_OCE,2015,26052172
Oceania,OWID_OCE,2016,27087544
Oceania,OWID_OCE,2017,28130782
Oceania,OWID_OCE,2018,27943268
Oceania,OWID_OCE,2019,31363428
Oceania,OWID_OCE,2020,32792724
Oceania,OWID_OCE,2021,33764516
South America,OWID_SAM,2004,57430344
South America,OWID_SAM,2005,66164416
South America,OWID_SAM,2006,86268024
South America,OWID_SAM,2007,101454840
South America,OWID_SAM,2008,115609240
South America,OWID_SAM,2009,136083660
South America,OWID_SAM,2010,152007100
South America,OWID_SAM,2011,171591780
South America,OWID_SAM,2012,190106370
South America,OWID_SAM,2013,203940690
South America,OWID_SAM,2014,217954930
South America,OWID_SAM,2015,235313780
South America,OWID_SAM,2016,249675380
South America,OWID_SAM,2017,272094880
South America,OWID_SAM,2018,267438780
South America,OWID_SAM,2019,281433020
South America,OWID_SAM,2020,310295360
South America,OWID_SAM,2021,316369900
World,OWID_WRL,2005,1027567360
World,OWID_WRL,2006,1147489800
World,OWID_WRL,2007,1364976400
World,OWID_WRL,2008,1560536300
World,OWID_WRL,2009,1753989900
World,OWID_WRL,2010,1994171900
World,OWID_WRL,2011,2197275400
World,OWID_WRL,2012,2398000400
World,OWID_WRL,2013,2574003200
World,OWID_WRL,2014,2760724500
World,OWID_WRL,2015,2980726300
World,OWID_WRL,2016,3295529700
World,OWID_WRL,2017,3539921200
World,OWID_WRL,2018,3818572000
World,OWID_WRL,2019,4210287400
World,OWID_WRL,2020,4740088000
World,OWID_WRL,2021,5074938000
