"year","nb_dept_infected","lat_mean_infected","pop_infected","Temperature","Nb_internet_users"
2004,1,0.462094283928552,1053182,12.7,0.9
2005,1,0.462094283928552,1063500,12.9,1.0236
2006,2,0.910133076029427,1231584,13.1,1.1471
2007,4,1.81443278612794,1919815,12.8,1.3661
2008,4,1.81443278612794,1926296,12.7,1.5553
2009,4,1.81443278612794,1924839,13,1.7496
2010,6,2.73717823965098,4063694,12.3,1.9934
2011,9,4.19248020323725,6977537,13.4,2.1918
2012,17,8.0650575199498,10170891,12.8,2.3968
2013,18,8.52307342791527,11328443,12.7,2.571
2014,20,9.51152172048532,12765904,13.8,2.7574
2015,30,14.3398745603007,18628967,13.4,2.9686
2016,33,15.7650819034329,22394868,13.1,3.2263
2017,39,18.7389542810325,26459172,13.1,3.4536
2018,48,23.2422589669916,37084709,13.9,3.7402
2019,55,26.7307103702401,42109168,13.7,4.1245
2020,60,29.1623059167783,44407419,14.1,4.6172
2021,62,30.1483826109301,44911739,12.9,4.9036
2022,65,31.6104308136996,46387850,14.5,5.1005
2023,71,34.6126955409252,50429631,14.4,5.2818
2024,74,36.1169884210659,51626535,13.9,5.5088
